1	基础知识
1.1	拼音
1.1.1	声母
1.1.1.1	概念和发音
1.1.1.2	书写
1.1.1.3	辨别
1.1.2	韵母
1.1.2.1	概念和发音
1.1.2.2	书写
1.1.2.3	辨别
1.1.3	字母表
1.1.3.1	字母表
1.1.3.2	书写
1.1.3.3	音序
1.1.4	整体认读音节
1.1.4.1	概念
1.1.4.2	发音和书写
1.1.4.3	学习方法
1.1.5	声调
1.1.5.1	概念
1.1.5.2	发声
1.1.5.3	写法
1.1.6	标调
1.1.6.1	概念
1.1.6.2	方法
1.1.7	拼写规则
1.1.7.1	y和w的使用
1.1.7.2	ü的使用
1.1.7.3	o和e的使用
1.1.7.4	隔音符号的用法
1.1.7.5	音节词的拼写、移行、大写规则
1.1.8	音变
1.1.8.1	概念
1.1.8.2	分类
1.1.8.2.1	轻声
1.1.8.2.2	儿化
1.1.8.2.3	变调
1.2	汉字
1.2.1	演变
1.2.1.1	概念
1.2.1.2	演变规律
1.2.1.2.1	甲骨文 金文 小篆 隶书
1.2.1.2.2	楷书 行书 草书
1.2.2	造字法（六书）
1.2.2.1	象形 指事 会意 形声
1.2.2.2	转注 假借
1.2.3	笔画笔顺
1.2.3.1	基本笔画
1.2.3.2	笔画书写
1.2.3.3	笔顺规则
1.2.3.4	笔顺特殊记忆
1.2.4	偏旁部首
1.2.4.1	概念
1.2.4.2	偏旁与部首的区别
1.2.4.3	识别部首的方法
1.2.4.4	汉字间架结构
1.2.5	查字典
1.2.5.1	音序查字法
1.2.5.2	部首查字法
1.2.5.3	数笔画查字法
1.2.6	形近字
1.2.6.1	概念
1.2.6.2	特点
1.2.6.3	辨析
1.2.6.3.1	读音辨析
1.2.6.3.2	字形辨析
1.2.6.4	巧记形近字
1.2.7	同音字
1.2.7.1	同音近形字
1.2.7.2	同音近义字
1.2.7.3	小学生常见同音字汇总
1.2.8	多音字
1.2.8.1	辨析方法
1.2.8.2	小学常见多音字记忆口诀
1.2.9	多义字
1.2.9.1	字义
1.2.9.1.1	本义和基本义
1.2.9.1.2	引申义 比喻义 假借义
1.2.9.1.3	辨析方法
1.2.9.2	辨析方法
1.3	词语
1.3.1	构成
1.3.1.1	单纯词
1.3.1.2	合成词
1.3.2	词性
1.3.2.1	实词
1.3.2.2	虚词
1.3.3	分类
1.3.3.1	形容人
1.3.3.2	形容动物
1.3.3.3	形容景物
1.3.4	词语搭配
1.3.4.1	联合关系
1.3.4.2	主谓关系
1.3.4.3	动宾关系
1.3.4.4	偏正关系
1.3.4.5	补充关系
1.3.5	近义词
1.3.5.1	找近义词的方法
1.3.5.2	近义词辨析
1.3.6	反义词
1.3.6.1	判断技巧
1.3.6.2	作用
1.3.7	多义词
1.3.7.1	构成
1.3.7.1.1	基本义
1.3.7.1.2	引申义
1.3.7.1.3	比喻义
1.3.7.2	理解方法
1.3.8	情感类型
1.3.8.1	褒义词
1.3.8.2	贬义词
1.3.8.3	中性词
1.3.8.4	辨析方法
1.3.8.5	特殊方法
1.3.8.5.1	褒义词贬用
1.3.8.5.2	贬义词褒用
1.3.9	叠词
1.3.9.1	形式
1.3.9.2	作用
1.3.9.3	小学阶段叠字大全
1.3.10	成语
1.3.10.1	概念与特点
1.3.10.2	来源
1.3.10.3	分类
1.3.11	关联词
1.3.11.1	常见类型
1.3.12	俗语 谚语 歇后语 格言
1.4	句子
1.4.1	句型
1.4.1.1	“把”字句 “被”字句
1.4.1.2	陈述句 疑问句 祈使句 感叹句
1.4.2	造句
1.4.2.1	形式
1.4.2.2	原则
1.4.3	排序
1.4.3.1	概念
1.4.3.2	依据
1.4.3.3	方法
1.4.4	句式转换
1.4.4.1	“把”字句、“被”字句与陈述句的互换
1.4.4.2	肯定句与否定句的互换
1.4.4.3	直述句和转述句的互换
1.4.5	扩句
1.4.5.1	概念
1.4.5.2	方法
1.4.5.2.1	描写法
