12	基本几何、勾股定理、弦图
12.1	基本几何
12.1.1	几何图形的认知
12.1.1.1	平面几何认知
12.1.1.2	立体几何认知
12.1.2	图形规律
12.1.2.1	数量规律
12.1.2.2	旋转、轮换型规律
12.1.2.3	其他
12.1.3	角度计算
12.1.3.1	简单角度
12.1.3.2	多边形内角
12.1.3.3	钟面角度
12.1.4	周长
12.1.4.1	公式法求周长
12.1.4.2	巧求周长
12.1.4.2.1	平移法
12.1.4.2.2	标向法
12.1.4.2.3	其他
12.1.5	面积
12.1.5.1	公式法求面积
12.1.5.1.1	长方形面积
12.1.5.1.2	正方形面积
12.1.5.1.3	平行四边形面积
12.1.5.1.4	三角形面积
12.1.5.1.5	梯形面积
12.1.5.2	巧求面积
12.2	勾股定理
12.3	弦图
13	分割与格点
13.1	图形的分割
13.1.1	自由分割
13.1.1.1	长方形的分割
13.1.1.2	三角形的分割
13.1.1.3	其他形状的分割
13.1.2	沿线分割
13.1.2.1	不含文字符号有关方格的图形分割
13.1.2.2	不含文字符号有关三角形的图形分割
13.1.2.3	含文字符号的图形分割
13.2	图形的拼合
13.2.1	三角形的拼合
13.2.2	正方形的拼合
13.2.3	组合图形的拼合
13.3	图形的裁剪拼合
13.3.1	自由裁剪拼合
13.3.2	沿方格裁剪拼合
13.3.2.1	长方形拼合成长方形
13.3.2.2	其余形状拼合成长方形
13.4	正方形格点问题
13.4.1	求格点多边形的个数
13.4.2	求格点多边形的面积
13.4.2.1	用面积公式以及割补法求格点多边形的面积
13.4.2.2	用毕克定理求格点多边形的面积
13.4.2.3	毕克定理的应用
13.5	三角形格点问题
13.5.1	三角形格点的简单应用
13.5.2	三角形格点的复杂应用
14	一半模型和等积变换
14.1	一半模型
14.1.1	基础一半模型
14.1.1.1	动点在边
14.1.1.2	动点在内
14.1.1.3	动点在外
14.1.1.4	部分一半
14.1.2	一半模型的应用
14.1.2.1	重叠型一半
14.1.2.2	分割型一半
14.1.2.3	构造一半
14.2	等积变换
14.2.1	平行线间的等积变换
14.2.2	平移
14.2.3	旋转
15	等高模型与鸟头模型
15.1	等高模型
15.1.1	三角形等高模型
15.1.1.1	三角形中的简单等高模型
15.1.1.2	三角形中的复杂等高模型
15.1.2	多边形等高模型
15.1.2.1	多边形中的简单等高模型
15.1.2.2	长方形等高模型
15.1.2.3	多边形中的复杂等高模型
15.1.2.4	其他
15.2	鸟头模型
15.2.1	内置型鸟头模型
15.2.2	外置型鸟头模型
15.2.3	复杂鸟头模型
16	蝴蝶、金字塔、沙漏、燕尾及相关
16.1	蝴蝶模型
16.1.1	任意四边形中的蝴蝶模型
16.1.2	蝴蝶模型的应用（构造蝴蝶模型）
16.1.3	梯形中的蝴蝶定理
16.1.4	复杂蝴蝶模型
16.2	相似模型
16.2.1	金字塔模型
16.2.2	沙漏模型
16.2.3	金字塔与沙漏综合
16.3	燕尾模型
16.3.1	基本燕尾模型
16.3.1.1	求各部分面积
16.3.1.2	求线段比
16.3.2	复杂燕尾模型
16.3.2.1	类弦图中的燕尾
16.3.2.2	多重燕尾
16.4	综合应用
17	直线型立体几何
17.1	长方体和正方体表面积
17.1.1	长方体表面积
17.1.2	正方体表面积
17.1.3	组合图形表面积
17.1.3.1	多个图形堆叠求表面积
17.1.3.2	长方体（正方体）上挖空一部分求表面积
17.2	长方体和正方体体积
17.2.1	长方体体积
17.2.2	正方体体积
17.2.3	组合图形体积
17.2.3.1	多个图形堆叠
17.2.3.2	长方体（正方体）上挖空一部分求体积
17.2.3.3	切割
17.3	立体图形染色问题
17.4	体积不变
17.4.1	普通的体积不变与拼接
17.4.2	物体入水
17.4.3	水瓶倒置
17.5	三视图与展开图
17.5.1	画立体图形的三视图
17.5.2	通过三视图判断立体图形
17.5.3	展开图
18	曲线几何
18.1	平面曲线几何
18.1.1	圆与扇形的周长
18.1.1.1	基本周长
18.1.1.2	捆绑类周长
18.1.1.3	滚动类周长
18.1.2	圆与扇形的面积
18.1.2.1	基本面积
18.1.2.2	平移与割补
18.1.2.3	容斥与差不变
18.1.2.4	拴狗问题
18.2	立体曲线几何
18.2.1	表面积
18.2.1.1	基本表面积
18.2.1.2	展开图
18.2.1.3	切割
18.2.2	体积
18.2.2.1	基本体积
18.2.2.2	水瓶倒置
18.2.2.3	物体入水
18.2.2.4	旋转问题
18.2.3	其他
