1	基本应用题
1.1	基本四则运算应用题
1.1.1	基本加减法问题
1.1.2	基本乘除法问题
1.1.3	两级运算混合应用题
1.1.4	四则运算混合应用题
1.2	数列应用题
1.2.1	求项数型应用题
1.2.2	求首项型应用题
1.2.3	求数列中间项、末项、公差型应用题
1.2.4	求和型应用题
1.3	等量代换应用题
1.3.1	简单图形等量代换
1.3.2	简单文字型等量代换
1.3.3	复杂型等量代换
1.4	排队问题
1.4.1	直线型排队问题
1.4.2	方队型排队问题
1.4.3	封闭型排队问题
1.5	其他问题
1.5.1	对比法问题
1.5.2	分组法问题
1.5.3	生活趣味问题
1.5.4	杂题
2	周期问题
2.1	图形中的周期问题
2.1.1	基础周期问题
2.1.1.1	计算具体位置的周期问题
2.1.1.2	计算个数位置的周期问题
2.1.2	图表中的周期问题
2.2	直线中的周期问题
2.2.1	求具体位置的直线周期问题
2.2.2	求个数的直线周期问题
2.2.3	多重周期问题
2.2.4	报数中的周期问题
2.3	环线中的周期问题
2.3.1	旋转中的周期问题
2.3.2	钟表中的周期问题
2.3.3	报数中的周期问题
2.4	数列中的周期问题
2.4.1	求数列中具体数字的周期问题
2.4.2	求次数、总数的周期问题
2.5	日期中的周期问题
2.5.1	求日期（时间）的周期问题
2.5.2	求天数（次数）的周期问题
2.6	隐藏的周期问题
2.6.1	直线中的隐藏周期问题
2.6.2	数列数表中的隐藏周期
3	归一问题
3.1	基本归一
3.1.1	直接归一
3.1.1.1	无变量
3.1.1.2	有变量
3.1.2	返回归一
3.1.3	两次归一
3.1.3.1	无变量
3.1.3.2	有变量
3.2	归一、归总问题之倍比法
3.3	归一、归总问题之分析法
3.4	归一、归总中的智巧趣题
4	植树问题
4.1	非封闭植树问题
4.1.1	两端都种
4.1.1.1	基础题
4.1.1.1.1	求棵树
4.1.1.1.2	求总长
4.1.1.1.3	求间隔距离
4.1.1.2	改变间隔
4.1.1.3	楼梯阶层问题
4.1.1.4	锯木头问题
4.1.1.5	敲钟问题
4.1.1.6	植树与因倍
4.1.2	一端种一端不种
4.1.3	两端都不种
4.2	封闭植树问题
4.2.1	求棵树
4.2.2	求总长
4.2.3	求间隔距离
4.3	几何植树问题
5	和差倍问题
5.1	基本和差倍
5.1.1	倍数问题
5.1.1.1	整数倍问题
5.1.1.2	非整数倍问题
5.1.2	和倍问题
5.1.2.1	整数倍问题
5.1.2.2	切除余量
5.1.2.3	补齐差量
5.1.3	差倍问题
5.1.3.1	整数倍问题
5.1.3.2	切除余量
5.1.3.3	补齐差量
5.1.4	和差问题
5.1.4.1	公式类
5.1.4.2	寻找不变量
5.1.4.3	移多补少
5.2	复杂和差倍
5.2.1	多人和差倍
5.2.1.1	基本多人类
5.2.1.2	设份数法
5.2.2	数论和差倍
5.2.3	隐藏关系类
5.2.4	对比类
5.2.4.1	直接对比法
5.2.4.2	分组比较法
5.2.5	其他类
6	年龄问题
6.1	年龄差
6.1.1	年龄差永不变
6.1.2	过去、现在、未来
6.2	年龄和
6.3	年龄之和差倍问题
6.3.1	年龄之和倍问题
6.3.2	年龄之差倍问题
6.3.3	年龄之和差问题
6.3.4	年龄之和差倍综合问题
6.3.4.1	双人
6.3.4.2	多人
6.4	年龄趣题
7	鸡兔同笼
7.1	画图法
7.2	列表法
7.3	假设法
7.3.1	两个对象
7.3.1.1	鸡兔同笼
7.3.1.2	鸡兔同笼变例
7.3.1.3	不计分倒扣分
7.3.2	多个对象
7.4	分组法
7.4.1	腿和
7.4.1.1	头同头差
