53	趣题
53.1	火柴棒
53.1.1	图形变换
53.1.2	算式变换一
53.1.3	算式变换二（数码数字）
53.2	一笔画
53.2.1	简单一笔画
53.2.1.1	一笔画图形判断
53.2.1.2	构造一笔画
53.2.2	多笔画图形
53.2.3	一笔画改造
53.2.3.1	基础练习
53.2.3.2	最短路线
53.3	生活趣题
53.3.1	空瓶问题
53.3.2	称重问题
53.3.2.1	对分法
53.3.2.2	三分法
53.3.2.3	已知轻重
53.3.2.4	一次称重
53.3.2.5	未知数量
53.4	其他
53.4.1	蜗牛爬井
53.4.2	巧解类
53.4.3	操作类
53.4.4	规律观察类
53.4.5	杂题
54	抽屉原理
54.1	直接用公式型
54.1.1	抽屉原理一
54.1.2	抽屉原理二
54.1.3	原理证明类
54.2	构造抽屉型
54.2.1	构造组合抽屉
54.2.1.1	构造简单抽屉
54.2.1.2	构造复杂抽屉
54.2.1.3	染色构造抽屉
54.2.2	构造逻辑抽屉
54.3	最不利原则
54.3.1	抽纸牌类
54.3.2	拿小球类
54.3.3	选数字类
54.3.4	取其他类
54.3.5	开锁问题
54.4	反求条件型
54.4.1	求限制条件
54.4.2	求符合总数
54.4.3	求部分抽屉
55	逻辑推理
55.1	矛盾法
55.1.1	真假命题
55.1.2	矛盾法
55.2	假设法
55.2.1	直接推理
55.2.2	假设推理
55.2.3	假设推理与特殊条件综合
55.3	列表法
55.3.1	单项列表
55.3.2	多项列表
55.4	体育比赛
55.4.1	画图
55.4.2	对阵情况
55.4.3	列表与计分
55.5	猜数中的逻辑推理
55.6	数论中的逻辑推理
55.7	立体中的逻辑推理
55.8	“聪明人”问题
56	必胜策略
56.1	逆推法
56.1.1	每次只能移动一格
56.1.2	每次可以移动多格
56.2	分组取物
56.2.1	每次取1~n个
56.2.1.1	取到最后一个为胜者
56.2.1.2	取到最后一个为败者
56.2.2	每次可取个数不为1~n
56.2.2.1	可化简类
56.2.2.2	连续但不从1开始
56.2.2.3	特殊类
56.2.3	对称操作
56.2.3.1	两堆小球
56.2.3.2	类两堆小球
56.2.3.3	多堆小球
56.2.4	其它类
57	统筹规划
57.1	合理安排时间
57.1.1	烙饼问题
57.1.2	排队问题
57.1.3	生活中的合理安排
57.2	合理安排地点
57.2.1	各地数量相同
57.2.2	各地数量不同
57.3	最少花费
57.3.1	租船租车
57.3.2	团体买票
57.3.3	商场促销
57.4	调运问题
57.5	过河问题
57.5.1	安全过河
57.5.2	最短时间过河
57.6	其他优化问题
57.6.1	合理布线
57.6.2	人员分配
57.6.3	最短路线
57.6.4	最少损耗
58	最值原理
58.1	数字中的最值
58.1.1	枚举法
58.1.2	与调整法结合
58.1.3	与极限法结合
58.1.4	调整法
58.1.5	与数论集合
58.1.6	和同差小积大
58.2	集合中的最值
58.2.1	图形计数
58.2.2	与数论结合
58.2.3	与周长面积结合
58.2.4	与一笔画结合
58.2.5	最短路径
58.2.6	和同差小积大
58.3	应用中的最值
58.3.1	枚举法
58.3.2	与数论结合
58.3.3	策略问题
58.3.4	不定方程
58.3.5	极限法
59	构造问题
59.1	最值构造问题
59.1.1	代数最值构造
59.1.2	几何最值构造
59.2	操作策略构造问题
59.2.1	操作类问题
59.2.2	策略类构造
59.2.3	存在性构造
59.3	数字构造问题
59.3.1	数字构造
59.3.2	其它数字构造
59.4	几何构造问题
59.4.1	图形构造
59.4.2	图形分割
59.4.3	其它图形问题
59.5	染色构造问题
59.5.1	一般染色问题
59.5.2	染色密铺问题
59.6	构造论证问题
